DEFLECTION,PSF,compactness,number of room, average room area,occlusivity,visible area,mean radial
10.388613,27.211307,0.303728,2,407.22,4489.439516,333356.689266,285.550015
9.456523,24.773767,0.018344,2,421.8,4814.622036,333921.303577,309.964222
8.455328,25.943848,0.018631,4,205.84,4719.886378,334587.633202,310.314158
9.589171,27.916585,0.018463,4,209.84,4778.917753,334743.809297,310.606273
10.795915,25.418689,0.017879,4,198.68,4954.272905,332781.255313,309.374984
9.299861,25.003627,0.017801,4,207.56,4978.682532,332758.661295,309.404939
8.223827,25.931016,0.018377,3,273.973333,4820.642024,335394.433774,311.256331
9.746116,25.114461,0.019122,1,801.4,4596.722921,334237.564841,309.622121
8.672714,25.581759,0.018409,5,162.712,4795.325686,334922.761685,310.773439
8.237093,27.456976,0.018166,1,790.04,4873.94845,333956.825316,310.171526
9.875921,27.427507,0.018661,4,197.74,4729.062609,334980.07692,310.653349
9.814158,26.788864,0.018082,2,434.12,4897.674848,333437.624748,309.7715
10.15143,26.502222,0.018911,2,399.94,4668.982578,334480.031055,310.080023
9.457918,27.624919,0.01872,2,422.62,4703.757771,335259.354845,310.820597
9.922684,24.976024,0.017679,5,143.312,5016.647973,331933.377444,308.769916
10.206192,26.410902,0.017816,4,217.68,4984.810941,333453.87152,310.048066
9.935468,25.407717,0.018772,2,419.22,4707.91531,334448.507384,310.118342
7.91561,26.129366,0.018684,3,272.026667,4729.454634,334802.588535,310.480286
9.928846,26.565776,0.018034,3,279.293333,4915.328149,332946.825142,309.375281
9.079044,26.91031,0.01784,4,210.83,4978.946095,333515.607042,310.072162
10.333514,27.442911,0.018166,3,275.306667,4874.010709,333881.46508,310.092677
9.402383,26.876243,0.018159,2,400.74,4867.219298,333228.33743,309.51649
10.278363,26.725177,0.018469,1,822.2,4783.126378,334449.969891,310.338319
9.778571,24.814209,0.018292,2,417.12,4818.312056,333891.594874,309.939445
9.423446,26.484222,0.018729,2,427.32,4730.810551,334108.164337,309.908743
8.989491,26.908003,0.018219,2,428.94,4852.68649,334611.524832,310.678119
